PC: 8001ff48 | Instr: 019b9793 | rs1_d: feedbead | rs2_d: 00000000 | alu_res: 5a000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: feedbead | mscratch: 00000000
PC: 8001ff4c | Instr: 007bdc13 | rs1_d: feedbead | rs2_d: 00000000 | alu_res: 01fddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: feedbead | mscratch: 00000000
PC: 8001ff50 | Instr: 00fc6c33 | rs1_d: 01fddb7d | rs2_d: 5a000000 | alu_res: 5bfddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01fddb7d | mscratch: 00000000
PC: 8001ff54 | Instr: 019c1793 | rs1_d: 5bfddb7d | rs2_d: 00000000 | alu_res: fa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 8001ff58 | Instr: 007c5c93 | rs1_d: 5bfddb7d | rs2_d: 00000000 | alu_res: 00b7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 8001ff5c | Instr: 00fcecb3 | rs1_d: 00b7fbb6 | rs2_d: fa000000 | alu_res: fab7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00b7fbb6 | mscratch: 00000000
PC: 8001ff60 | Instr: 019c9793 | rs1_d: fab7fbb6 | rs2_d: fab7fbb6 | alu_res: 6c000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: fab7fbb6 | mscratch: 00000000
PC: 8001ff64 | Instr: 007cdd13 | rs1_d: fab7fbb6 | rs2_d: 00000000 | alu_res: 01f56ff7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: fab7fbb6 | mscratch: 00000000
PC: 8001ff68 | Instr: 00fd6d33 | rs1_d: 01f56ff7 | rs2_d: 6c000000 | alu_res: 6df56ff7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01f56ff7 | mscratch: 00000000
PC: 8001ff6c | Instr: 019d1793 | rs1_d: 6df56ff7 | rs2_d: fab7fbb6 | alu_res: ee000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 6df56ff7 | mscratch: 00000000
