PC: 800073b0 | Instr: 00fc6c33 | rs1_d: 01fddb7d | rs2_d: 5a000000 | alu_res: 5bfddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01fddb7d | mscratch: 00000000
PC: 800073b4 | Instr: 019c1793 | rs1_d: 5bfddb7d | rs2_d: 00000000 | alu_res: fa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 800073b8 | Instr: 007c5c93 | rs1_d: 5bfddb7d | rs2_d: 00000000 | alu_res: 00b7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 800073bc | Instr: 00fcecb3 | rs1_d: 00b7fbb6 | rs2_d: fa000000 | alu_res: fab7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00b7fbb6 | mscratch: 00000000
PC: 800073c0 | Instr: 019c9793 | rs1_d: fab7fbb6 | rs2_d: fab7fbb6 | alu_res: 6c000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: fab7fbb6 | mscratch: 00000000
PC: 800073c4 | Instr: 007cdd13 | rs1_d: fab7fbb6 | rs2_d: 00000000 | alu_res: 01f56ff7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: fab7fbb6 | mscratch: 00000000
PC: 800073c8 | Instr: 00fd6d33 | rs1_d: 01f56ff7 | rs2_d: 6c000000 | alu_res: 6df56ff7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01f56ff7 | mscratch: 00000000
PC: 800073cc | Instr: 019d1793 | rs1_d: 6df56ff7 | rs2_d: fab7fbb6 | alu_res: ee000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 6df56ff7 | mscratch: 00000000
PC: 800073d0 | Instr: 007d5d93 | rs1_d: 6df56ff7 | rs2_d: 00000000 | alu_res: 00dbeadf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 6df56ff7 | mscratch: 00000000
PC: 800073d4 | Instr: 00fdedb3 | rs1_d: 00dbeadf | rs2_d: ee000000 | alu_res: eedbeadf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00dbeadf | mscratch: 00000000
PC: 800073d8 | Instr: 019d9793 | rs1_d: eedbeadf | rs2_d: fab7fbb6 | alu_res: be000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: eedbeadf | mscratch: 00000000
PC: 800073dc | Instr: 007dde13 | rs1_d: eedbeadf | rs2_d: 00000000 | alu_res: 01ddb7d5 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: eedbeadf | mscratch: 00000000
PC: 800073e0 | Instr: 00fe6e33 | rs1_d: 01ddb7d5 | rs2_d: be000000 | alu_res: bfddb7d5 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01ddb7d5 | mscratch: 00000000
PC: 800073e4 | Instr: 019e1793 | rs1_d: bfddb7d5 | rs2_d: fab7fbb6 | alu_res: aa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: bfddb7d5 | mscratch: 00000000
PC: 800073e8 | Instr: 007e5e93 | rs1_d: bfddb7d5 | rs2_d: 00000000 | alu_res: 017fbb6f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: bfddb7d5 | mscratch: 00000000
PC: 800073ec | Instr: 00feeeb3 | rs1_d: 017fbb6f | rs2_d: aa000000 | alu_res: ab7fbb6f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 017fbb6f | mscratch: 00000000
PC: 800073f0 | Instr: 019e9793 | rs1_d: ab7fbb6f | rs2_d: fab7fbb6 | alu_res: de000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: ab7fbb6f | mscratch: 00000000
PC: 800073f4 | Instr: 007edf13 | rs1_d: ab7fbb6f | rs2_d: 00000000 | alu_res: 0156ff76 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: ab7fbb6f | mscratch: 00000000
PC: 800073f8 | Instr: 00ff6f33 | rs1_d: 0156ff76 | rs2_d: de000000 | alu_res: df56ff76 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 0156ff76 | mscratch: 00000000
PC: 800073fc | Instr: 019f1793 | rs1_d: df56ff76 | rs2_d: fab7fbb6 | alu_res: ec000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: df56ff76 | mscratch: 00000000
PC: 80007400 | Instr: 007f5f93 | rs1_d: df56ff76 | rs2_d: 00000000 | alu_res: 01beadfe | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: df56ff76 | mscratch: 00000000
PC: 80007404 | Instr: 00ffefb3 | rs1_d: 01beadfe | rs2_d: ec000000 | alu_res: edbeadfe | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01beadfe | mscratch: 00000000
PC: 80007408 | Instr: feedc0b7 | rs1_d: eedbeadf | rs2_d: 00000000 | alu_res: feedc000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: fee | csr_wdata: eedbeadf | mscratch: 00000000
PC: 8000740c | Instr: ead08093 | rs1_d: feedc000 | rs2_d: 00000000 | alu_res: feedbead | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: ead | csr_wdata: feedc000 | mscratch: 00000000
PC: 80007410 | Instr: 01909793 | rs1_d: feedbead | rs2_d: fab7fbb6 | alu_res: 5a000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: feedbead | mscratch: 00000000
