PC: 8000372c | Instr: ead08093 | rs1_d: feedc000 | rs2_d: 00000000 | alu_res: feedbead | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: ead | csr_wdata: feedc000 | mscratch: 00000000
PC: 80003730 | Instr: 01909793 | rs1_d: feedbead | rs2_d: fab7fbb6 | alu_res: 5a000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: feedbead | mscratch: 00000000
PC: 80003734 | Instr: 0070d113 | rs1_d: feedbead | rs2_d: 00000000 | alu_res: 01fddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: feedbead | mscratch: 00000000
PC: 80003738 | Instr: 00f16133 | rs1_d: 01fddb7d | rs2_d: 5a000000 | alu_res: 5bfddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01fddb7d | mscratch: 00000000
PC: 8000373c | Instr: 01911793 | rs1_d: 5bfddb7d | rs2_d: fab7fbb6 | alu_res: fa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 80003740 | Instr: 00715193 | rs1_d: 5bfddb7d | rs2_d: 00000000 | alu_res: 00b7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 80003744 | Instr: 00f1e1b3 | rs1_d: 00b7fbb6 | rs2_d: fa000000 | alu_res: fab7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00b7fbb6 | mscratch: 00000000
PC: 80003748 | Instr: 01919793 | rs1_d: fab7fbb6 | rs2_d: fab7fbb6 | alu_res: 6c000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: fab7fbb6 | mscratch: 00000000
PC: 8000374c | Instr: 0071d213 | rs1_d: fab7fbb6 | rs2_d: 00000000 | alu_res: 01f56ff7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: fab7fbb6 | mscratch: 00000000
PC: 80003750 | Instr: 00f26233 | rs1_d: 01f56ff7 | rs2_d: 6c000000 | alu_res: 6df56ff7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01f56ff7 | mscratch: 00000000
PC: 80003754 | Instr: 01921793 | rs1_d: 6df56ff7 | rs2_d: fab7fbb6 | alu_res: ee000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 6df56ff7 | mscratch: 00000000
PC: 80003758 | Instr: 00725293 | rs1_d: 6df56ff7 | rs2_d: 00000000 | alu_res: 00dbeadf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 6df56ff7 | mscratch: 00000000
PC: 8000375c | Instr: 00f2e2b3 | rs1_d: 00dbeadf | rs2_d: ee000000 | alu_res: eedbeadf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00dbeadf | mscratch: 00000000
PC: 80003760 | Instr: 01929793 | rs1_d: eedbeadf | rs2_d: fab7fbb6 | alu_res: be000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: eedbeadf | mscratch: 00000000
PC: 80003764 | Instr: 0072d313 | rs1_d: eedbeadf | rs2_d: 00000000 | alu_res: 01ddb7d5 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: eedbeadf | mscratch: 00000000
PC: 80003768 | Instr: 00f36333 | rs1_d: 01ddb7d5 | rs2_d: be000000 | alu_res: bfddb7d5 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01ddb7d5 | mscratch: 00000000
PC: 8000376c | Instr: 01931793 | rs1_d: bfddb7d5 | rs2_d: fab7fbb6 | alu_res: aa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: bfddb7d5 | mscratch: 00000000
